id,title,overview,genres,release_date,vote_average,vote_count,popularity,original_language
1488684,The Robbers,"It's Boxing Day and already Karen is making New Year resolutions - chiefly for others - and the family have been burgled,though selectively,causing Sue to cheat on the insurance claim. Sue and Jake go to collect Grandad from the retirement home where he now lives,only to find he has sloped off to the pub again with Scots mate Mac. Sue ends up asking Mac back for dinner though his thick accent creates a language barrier for Karen. Sue's divorced friend Jane is also invited and though the children fail to appreciate her present for them,a goat donated to Oxfam,Pete feels sorry for her and is glad that the Brockmans have given a Christmas to lonely strangers - until a W.P.C. turns up with another old boy who has gone walkabout.",['Comedy'],2009-12-27,0.0,0,63.6721,en
46563,Saratoga Trunk,An opportunistic Texas gambler and the exiled Creole daughter of an aristocratic family join forces to achieve justice from the society that has ostracized them.,"['Drama', 'Romance', 'Western']",1945-11-21,5.7,15,44.5387,en
513592,Vodnická čertovina,"When something flashes across the pond dam in the early evening, it could be the gamekeeper Čeřínek, or the poacher Kopýtko and the tailor Nitka, or... could it be Pepík and Franta? A water sprite, no, water sprites don't exist, only superstitious old women and the poor fish warden, who is a little scared of guarding the carp in the tower, believe in them. At least that's what Kopýtko and Nitka think as they plunder the pond so that their mischievous wives can show off. And what if they manage to catch a colossal fish, a carp bigger than anyone has ever seen before? Immediately, a plan emerges in their greedy minds to pass the carp off as a water sprite, display it in pubs, and make a fortune.","['Family', 'Fantasy', 'TV Movie']",1996-01-01,0.0,0,61.5463,cs
185341,[REC]⁴ Apocalypse,"Ángela Vidal, the young television reporter who entered the building with the firemen, manages to make it out alive. But what the soldiers don't know is that she carries the seed of the strange infection. She is to be taken to a provisional quarantine facility, a high-security installation where she will have to stay in isolation for several days. An old oil tanker, miles off shore and surrounded by water on all sides, has been especially equipped for the quarantine.","['Thriller', 'Horror']",2014-10-31,5.613,1249,40.7048,es
1081676,Forgotten Love,A once-respected surgeon who's lost his family and his memory gets a chance at redemption when he reconnects with someone from his forgotten past.,"['Drama', 'Romance']",2023-09-26,7.8,345,41.4909,pl
1451398,Re/Member: The Last Night,"Three years after completing a deadly game, high schoolers trapped in a looping nightmare must survive brutal encounters and unravel a terrifying curse.",['Horror'],2025-09-05,4.7,9,56.5872,ja
696393,Cold Storage,"When a mutating, highly contagious fungus escapes a sealed facility, two employees – joined by a grizzled bioterror operative – must survive the wildest night shift ever to save humanity from extinction.","['Horror', 'Science Fiction', 'Comedy']",2026-01-22,6.8,235,56.3812,en
1272837,28 Years Later: The Bone Temple,Dr. Kelson finds himself in a shocking new relationship - with consequences that could change the world as they know it - and Spike's encounter with Jimmy Crystal becomes a nightmare he can't escape.,"['Horror', 'Thriller', 'Science Fiction']",2026-01-14,7.199,864,61.7091,en
278,The Shawshank Redemption,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.","['Drama', 'Crime']",1994-09-23,8.717,29964,54.491,en
1284460,Alpha,"Alpha, a troubled 13-year-old lives with her single mom. Their world collapses the day she returns from school with a tattoo on her arm.","['Horror', 'Drama', 'Science Fiction', 'Thriller']",2025-08-20,6.4,99,47.6869,fr
24428,The Avengers,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!","['Science Fiction', 'Action', 'Adventure']",2012-04-25,7.974,36629,57.3618,en
1426964,State of Fear,"As São Paulo erupts in an unprecedented wave of violence, a lawyer with underworld ties must strike a deal with the police to rescue her kidnapped niece.","['Action', 'Thriller', 'Crime', 'Drama']",2026-02-10,5.424,59,59.768,pt
1584215,The Internship,"A CIA-trained assassin recruits other graduates from her secret childhood program, The Internship, to violently destroy the organization. The CIA fights back with deadly force.",['Action'],2026-01-13,6.11,59,57.8519,en
